Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nepal,NPL,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.065743944637
Nepal,NPL,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,67.8431755183502
Nepal,NPL,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,112.610654393996
Nepal,NPL,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,115.325540266482
Nepal,NPL,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,97.0055873700847
Nepal,NPL,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,94.9419097495845
Nepal,NPL,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,70.4015645854131
Nepal,NPL,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,78.9440155842005
Nepal,NPL,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,77.0867835300316
Nepal,NPL,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,68.9652483690816
Nepal,NPL,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,54.8748465693149
Nepal,NPL,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,26.5436949640263
Nepal,NPL,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.8098672955102
Nepal,NPL,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,25.0866972477064
Nepal,NPL,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.2027272727273
Nepal,NPL,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.36486486486486
Nepal,NPL,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.60892857142857
Nepal,NPL,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.64203539823009
Nepal,NPL,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.56885964912281
Nepal,NPL,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.02521739130435
